time	V(vdrain)	V(vdrain_totem)	V(vgate)	V(vgate_totem)	Id(Mosfet)	Id(Mosfet_totem)
0.000000000000000e+00	1.200000e+01	1.200000e+01	0.000000e+00	1.195305e-03	1.243450e-11	1.243450e-11
1.953124890551744e-13	1.200000e+01	1.200000e+01	9.191720e-07	1.195317e-03	1.262634e-11	2.514611e-11
3.906249781103488e-13	1.200000e+01	1.200000e+01	1.838380e-06	1.195333e-03	1.208646e-11	2.539265e-11
7.812499562206976e-13	1.200000e+01	1.200000e+01	3.676945e-06	1.195375e-03	1.538994e-11	1.632393e-11
1.562499912441395e-12	1.200000e+01	1.200000e+01	7.354695e-06	1.195494e-03	1.269638e-11	9.530637e-12
3.124999824882790e-12	1.200000e+01	1.200000e+01	1.471271e-05	1.195845e-03	-2.410438e-12	9.555257e-12
6.249999649765581e-12	1.200000e+01	1.200000e+01	2.943872e-05	1.196919e-03	-3.739718e-11	8.939694e-12
1.249999929953116e-11	1.200000e+01	1.200000e+01	5.893064e-05	1.200302e-03	-1.705376e-10	-2.826256e-12
2.499999859906232e-11	1.200000e+01	1.200000e+01	1.180740e-04	1.210851e-03	-6.900518e-10	-7.095230e-11
4.999999719812465e-11	1.200000e+01	1.200000e+01	2.369990e-04	1.241755e-03	-2.729352e-09	-4.700998e-10
9.999999439624929e-11	1.200000e+01	1.200000e+01	4.770657e-04	1.322766e-03	-1.028669e-08	-2.421835e-09
1.753397118994356e-10	1.200001e+01	1.200000e+01	8.439648e-04	1.466992e-03	-2.978189e-08	-8.490042e-09
2.770352091087612e-10	1.200002e+01	1.200001e+01	1.350054e-03	1.684104e-03	-7.308844e-08	-2.391371e-08
4.417750504504391e-10	1.200004e+01	1.200002e+01	2.199300e-03	2.071612e-03	-1.892946e-07	-7.001341e-08
7.568711465964798e-10	1.200012e+01	1.200005e+01	3.912822e-03	2.897082e-03	-5.509013e-07	-2.258877e-07
1.217721987081397e-09	1.200030e+01	1.200013e+01	6.609396e-03	4.257212e-03	-1.376447e-06	-6.052546e-07
1.801333182606708e-09	1.200066e+01	1.200031e+01	1.038859e-02	6.229729e-03	-2.986936e-06	-1.386308e-06
2.750664016073083e-09	1.200155e+01	1.200076e+01	1.747487e-02	1.000387e-02	-7.050628e-06	-3.446281e-06
4.430961829918758e-09	1.200404e+01	1.200206e+01	3.273099e-02	1.821755e-02	-1.836456e-05	-9.371595e-06
7.260512185758192e-09	1.201051e+01	1.200553e+01	6.535602e-02	3.599204e-02	-4.777374e-05	-2.513330e-05
1.106308365259956e-08	1.202332e+01	1.201256e+01	1.220148e-01	6.762899e-02	-1.060045e-04	-5.709147e-05
1.565954418680163e-08	1.204458e+01	1.202484e+01	2.089693e-01	1.201845e-01	-2.026545e-04	-1.128934e-04
2.006419470144904e-08	1.207001e+01	1.204359e+01	3.088450e-01	2.327054e-01	-3.182419e-04	-1.981160e-04
2.209884920580027e-08	1.208364e+01	1.206303e+01	3.612687e-01	4.039809e-01	-3.801588e-04	-2.864900e-04
2.344782486856786e-08	1.209355e+01	1.209065e+01	3.990410e-01	6.314443e-01	-4.252135e-04	-4.120386e-04
2.473463965317093e-08	1.210354e+01	1.213354e+01	4.369501e-01	9.096326e-01	-4.706373e-04	-6.080751e-04
2.606164511797061e-08	1.211434e+01	1.219315e+01	4.777992e-01	1.221689e+00	-5.197366e-04	-8.801501e-04
2.758357612070852e-08	1.212743e+01	1.227927e+01	5.271468e-01	1.605316e+00	-5.792181e-04	-1.272867e-03
3.031390676512585e-08	1.215252e+01	1.246597e+01	6.215906e-01	2.331468e+00	-6.933081e-04	-2.123738e-03
3.389425037597901e-08	1.218829e+01	1.275000e+01	7.560409e-01	3.322925e+00	-8.558577e-04	-3.412358e-03
3.876967294686454e-08	1.224091e+01	1.309218e+01	9.539394e-01	4.700411e+00	-1.095048e-03	-4.964019e-03
4.076938857645509e-08	1.226389e+01	1.273778e+01	1.040458e+00	5.257754e+00	-1.199499e-03	-3.352978e-03
4.207232736160534e-08	1.227958e+01	1.142173e+01	1.099637e+00	5.597451e+00	-1.270835e-03	3.444798e-03
4.347267411580441e-08	1.229690e+01	8.787788e+00	1.165032e+00	5.931495e+00	-1.349562e-03	1.631542e-02
4.453083899423666e-08	1.231027e+01	6.709430e+00	1.215559e+00	6.167690e+00	-1.410320e-03	2.491016e-02
4.554310025646964e-08	1.232331e+01	5.249886e+00	1.264911e+00	6.383481e+00	-1.469591e-03	3.007257e-02
4.665404816711927e-08	1.233788e+01	4.246534e+00	1.320120e+00	6.613017e+00	-1.535817e-03	3.393105e-02
4.779587651329614e-08	1.235311e+01	3.530768e+00	1.377902e+00	6.842714e+00	-1.605044e-03	3.790604e-02
4.872562809196184e-08	1.236573e+01	3.024669e+00	1.425844e+00	7.023614e+00	-1.662405e-03	4.079464e-02
5.000000000000000e-08	1.238325e+01	2.341727e+00	1.492471e+00	7.265339e+00	-1.742042e-03	4.390124e-02
5.012743719080382e-08	1.238502e+01	2.270963e+00	1.498624e+00	7.287665e+00	-1.750092e-03	4.422254e-02
5.038231157241145e-08	1.238855e+01	2.128217e+00	1.510918e+00	7.331453e+00	-1.766152e-03	4.487137e-02
5.089206033562672e-08	1.239558e+01	1.836409e+00	1.535450e+00	7.413930e+00	-1.798078e-03	4.619782e-02
